,authname1,authname2,value
616,Nave G.,Olivola C.,2
617,Nave G.,Rocklage M.D.,2
618,Olivola C.,Rocklage M.D.,2
619,Sidlauskiene J.,Sidlauskiene J.,1
620,Raithel S.,Tang Q.,2
621,Mafael A.,Tang Q.,2
622,Galande A.S.,Tang Q.,2
623,Mafael A.,Raithel S.,2
624,Galande A.S.,Raithel S.,2
625,Galande A.S.,Mafael A.,2
626,Hyder A.,Nag R.,2
627,Marriott H.R.,Pitardi V.,1
628,Li Q.,Zheng Y.,1
629,Li Q.,Zhan G.,1
630,Zhan G.,Zheng Y.,1
631,Milán P.N.,Sanz M.P.,1
632,Milán P.N.,Vázquez Y.G.,1
633,Sanz M.P.,Vázquez Y.G.,1
634,Cheng Z.(.,Mander H.,1
635,Mander H.,de Regt A.,1
636,Fawaz R.,Mander H.,1
637,Mander H.,Montecchi M.,1
638,Cheng Z.(.,de Regt A.,1
639,Cheng Z.(.,Fawaz R.,1
640,Cheng Z.(.,Montecchi M.,1
641,Montecchi M.,de Regt A.,2
642,Fawaz R.,Montecchi M.,1
643,Krey N.,Wu S.,1
644,Hsiao S.H.,Krey N.,1
645,Hsiao S.H.,Wu S.,1
646,Aouina-Mejri C.,Kefi H.,1
647,Napolitan M.,Pantano E.,1
648,Napolitan M.,Stylos N.,1
649,Napolitan M.,de Pietro M.,1
650,Pantano E.,Stylos N.,1
651,Pantano E.,de Pietro M.,1
652,Stylos N.,de Pietro M.,1
653,(Mia) Cheng Z.,Li L.,1
654,Li L.,de Regt A.,1
655,Hao J.,Li L.,1
656,Li L.,Montecchi M.,1
657,(Mia) Cheng Z.,de Regt A.,1
658,(Mia) Cheng Z.,Hao J.,1
659,(Mia) Cheng Z.,Montecchi M.,1
660,Hao J.,de Regt A.,1
661,Hao J.,Montecchi M.,1
662,Guerreiro J.,Oliveira P.M.,1
663,Oliveira P.M.,Rita P.,1
664,Guerreiro J.,Rita P.,1
665,Aleem A.,Loureiro S.M.C.,1
666,Aleem A.,Bilro R.G.,1
667,Schlegelmilch B.B.,Sharma K.,1
668,Garg S.,Schlegelmilch B.B.,1
669,Garg S.,Sharma K.,1
670,Chen M.C.,Ho C.I.,1
671,Ho C.I.,Shih Y.W.,1
672,Chen M.C.,Shih Y.W.,1
673,La L.,Xu F.,1
674,La L.,Ren Q.,1
675,La L.,Zhen F.,1
676,La L.,Lobsang T.,1
677,Ren Q.,Xu F.,1
678,Xu F.,Zhen F.,1
679,Lobsang T.,Xu F.,1
680,Ren Q.,Zhen F.,1
681,Lobsang T.,Ren Q.,1
682,Lobsang T.,Zhen F.,1
683,Liu S.,Liu Y.,1
684,Liu Y.,Ye D.,1
685,Liu Y.,Tang H.,1
686,Liu Y.,Wang F.,1
687,Liu S.,Ye D.,1
688,Liu S.,Tang H.,1
689,Liu S.,Wang F.,1
690,Tang H.,Ye D.,1
691,Wang F.,Ye D.,1
692,Tang H.,Wang F.,1
693,Gratz E.T.,Sarkees M.E.,1
694,Fitzgerald M.P.,Gratz E.T.,1
695,Fitzgerald M.P.,Sarkees M.E.,1
696,Jainuri J.,Sulistyaningsih T.,1
697,Salahudin S.,Sulistyaningsih T.,1
698,Jovita H.D.,Sulistyaningsih T.,1
699,Nurmandi A.,Sulistyaningsih T.,1
700,Jainuri J.,Salahudin S.,1
701,Jainuri J.,Jovita H.D.,1
702,Jainuri J.,Nurmandi A.,1
703,Jovita H.D.,Salahudin S.,1
704,Nurmandi A.,Salahudin S.,1
705,Jovita H.D.,Nurmandi A.,1
706,Demirel A.,Demirel A.,1
707,Cian L.,Longoni C.,1
