"","entry_number","@_fa","@seq","author_url","authid","orcid","authname","surname","given_name","initials","afid.@_fa","afid"
"132",39,"true","2","https://api.elsevier.com/content/author/author_id/57671096800","57671096800","0000-0001-6381-814X","Mukherjee A.","Mukherjee","Anirban","A.",NA,NA
"133",39,"true","3","https://api.elsevier.com/content/author/author_id/57908610900","57908610900",NA,"Chattopadhyay A.","Chattopadhyay","Amitava","A.",NA,NA
"134",40,"true","1","https://api.elsevier.com/content/author/author_id/57210466897","57210466897",NA,"Ramos R.F.","Ramos","Ricardo Filipe","R.F.","true","60027072"
"135",40,"true","2","https://api.elsevier.com/content/author/author_id/14629383400","14629383400",NA,"Rita P.","Rita","Paulo","P.","true","60105899"
"136",40,"true","3","https://api.elsevier.com/content/author/author_id/56076679200","56076679200",NA,"Moro S.","Moro","Sérgio","S.","true","60028300"
"137",41,"true","1","https://api.elsevier.com/content/author/author_id/57201503618","57201503618","0000-0002-3740-1743","Frau M.","Frau","Moreno","M.","true","60001434"
"138",41,"true","2","https://api.elsevier.com/content/author/author_id/36570045200","36570045200",NA,"Cabiddu F.","Cabiddu","Francesca","F.","true","60032259"
"139",41,"true","3","https://api.elsevier.com/content/author/author_id/55771121300","55771121300",NA,"Frigau L.","Frigau","Luca","L.","true","60032259"
"140",41,"true","4","https://api.elsevier.com/content/author/author_id/56955250500","56955250500",NA,"Tomczyk P.","Tomczyk","Przemyslaw","P.","true","60016765"
"141",41,"true","5","https://api.elsevier.com/content/author/author_id/56206378100","56206378100",NA,"Mola F.","Mola","Francesco","F.","true","60032259"
"142",42,"true","1","https://api.elsevier.com/content/author/author_id/57148260400","57148260400",NA,"Elhoseny M.","Elhoseny","Mohamed","M.","true","60070813"
"143",42,"true","2","https://api.elsevier.com/content/author/author_id/57221258297","57221258297",NA,"Darwiesh A.","Darwiesh","Abdelaziz","A.","true","60107578"
"144",42,"true","3","https://api.elsevier.com/content/author/author_id/15841799500","15841799500",NA,"El-Baz A.H.","El-Baz","A. H.","A.H.","true","60107578"
"145",42,"true","4","https://api.elsevier.com/content/author/author_id/25930566300","25930566300",NA,"Rodrigues J.J.P.C.","Rodrigues","Joel J.P.C.","J.J.P.C.","true","60105111"
"146",43,"true","1","https://api.elsevier.com/content/author/author_id/56637681200","56637681200","0000-0003-2021-7621","Walker K.L.","Walker","Kristen L.","K.L.","true","60020975"
"147",43,"true","2","https://api.elsevier.com/content/author/author_id/58084155700","58084155700",NA,"Bodendorf K.","Bodendorf","Kiya","K.","true","60020975"
"148",43,"true","3","https://api.elsevier.com/content/author/author_id/51563946600","51563946600",NA,"Kiesler T.","Kiesler","Tina","T.","true","60020975"
"149",43,"true","4","https://api.elsevier.com/content/author/author_id/58083600100","58083600100",NA,"de Mattos G.","de Mattos","Georgie","G.","true","60020975"
"150",43,"true","5","https://api.elsevier.com/content/author/author_id/58084155800","58084155800",NA,"Rostom M.","Rostom","Mark","M.","true","60020975"
"151",43,"true","6","https://api.elsevier.com/content/author/author_id/58084074500","58084074500",NA,"Elkordy A.","Elkordy","Amr","A.","true","60020975"
"152",44,"true","1","https://api.elsevier.com/content/author/author_id/57208471556","57208471556",NA,"Cavique M.","Cavique","Mariana","M.","true","60028300"
