"","entry_number","@_fa","affiliation_url","afid","affilname","affiliation_city","affiliation_country","continent"
"162",72,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60019963","60019963","Yildiz Technical University","Istanbul","Turkey","Asia"
"163",73,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60105899","60105899","NOVA Information Management School, Universidade Nova de Lisboa","Lisboa","Portugal","Europe"
"164",73,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60028300","60028300","Iscte – Instituto Universitário de Lisboa","Lisbon","Portugal","Europe"
"165",74,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60019963","60019963","Yildiz Technical University","Istanbul","Turkey","Asia"
"166",75,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60029157","60029157","Universiti Malaya","Kuala Lumpur","Malaysia","Asia"
"167",75,"true","https://api.elsevier.com/content/affiliation/affiliation_id/124386756","124386756","Institut Agama Islam Darussalam (IAID)","Ciamis","Indonesia","Asia"
"168",75,"true","https://api.elsevier.com/content/affiliation/affiliation_id/124072770","124072770","BAZNAS Center of Strategic Studies","Jakarta","Indonesia","Asia"
"169",76,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60193403","60193403","École de Gestion Telfer","Ottawa","Canada","Americas"
"170",76,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60190568","60190568","Odette School of Business","Windsor","Canada","Americas"
"171",76,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60113134","60113134","Beedie School of Business","Burnaby","Canada","Americas"
"172",77,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60026553","60026553","University of Melbourne","Parkville","Australia","Oceania"
"173",77,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60019578","60019578","Monash University","Melbourne","Australia","Oceania"
"174",78,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60032987","60032987","Griffith University","Brisbane","Australia","Oceania"
"175",78,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60028333","60028333","UNSW Sydney","Sydney","Australia","Oceania"
"176",79,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60007966","60007966","Tecnologico de Monterrey","Monterrey","Mexico","Americas"
"177",79,"true","https://api.elsevier.com/content/affiliation/affiliation_id/127027408","127027408","Corporate Innovation and Emerging Technologies","Softtek","Mexico","Americas"
"178",80,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60033019","60033019","Universidad Pública de Navarra","Pamplona","Spain","Europe"
"179",82,NA,NA,NA,NA,NA,NA,NA
"180",82,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60028300","60028300","Iscte – Instituto Universitário de Lisboa","Lisbon","Portugal","Europe"
"181",83,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60030804","60030804","Swinburne University of Technology","Hawthorn","Australia","Oceania"
"182",83,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60018805","60018805","Deakin University","Geelong","Australia","Oceania"
"183",84,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60116324","60116324","Kogod School of Business","Washington, D.C.","United States","Americas"
