"citing_art";"scopus_id"
"SCOPUS_ID:85142372695";"85040313738"
"SCOPUS_ID:85136591503";"84863306901"
"SCOPUS_ID:85077710168";"77956509090"
"SCOPUS_ID:85101739989";"85075670920"
"SCOPUS_ID:85083557523";"85028154911"
"SCOPUS_ID:85078900437";"84928547704"
"SCOPUS_ID:85063791569";"84928547704"
"SCOPUS_ID:85109633827";"33872521"
"SCOPUS_ID:84905976163";"33872521"
"SCOPUS_ID:85139397646";"56349094785"
"SCOPUS_ID:85150089813";"56349094785"
"SCOPUS_ID:85091634199";"56349094785"
"SCOPUS_ID:85030455391";"56349094785"
"SCOPUS_ID:84939550750";"56349094785"
"SCOPUS_ID:85069470449";"13844271275"
"SCOPUS_ID:85089982084";"33745561205"
"SCOPUS_ID:85139115612";"4644234910"
"SCOPUS_ID:85065283005";"84962073666"
"SCOPUS_ID:85116438673";"84910651844"
"SCOPUS_ID:85059171693";"84910651844"
"SCOPUS_ID:84930898445";"84950934893"
"SCOPUS_ID:85139397646";"35639140"
"SCOPUS_ID:85114853462";"35639140"
"SCOPUS_ID:84995546450";"35639140"
"SCOPUS_ID:84945465077";"35639140"
"SCOPUS_ID:85100059556";"37062448"
"SCOPUS_ID:84861707692";"37062448"
"SCOPUS_ID:85101930421";"58149425798"
"SCOPUS_ID:85057168962";"32375624"
"SCOPUS_ID:85116899884";"23453329"
"SCOPUS_ID:85101480021";"23453329"
"SCOPUS_ID:85076527722";"23453329"
"SCOPUS_ID:85138798648";"77956877124"
"SCOPUS_ID:85040710229";"77956877124"
"SCOPUS_ID:85159489905";"33751224822"
"SCOPUS_ID:85120649487";"19392722"
"SCOPUS_ID:85118220280";"85041916350"
"SCOPUS_ID:85059376135";"79551602978"
"SCOPUS_ID:85143324979";"2942649403"
"SCOPUS_ID:85067848547";"2942649403"
"SCOPUS_ID:85101739989";"84976702763"
"SCOPUS_ID:85088942130";"84976702763"
"SCOPUS_ID:85052138805";"84976702763"
"SCOPUS_ID:85044845432";"84976702763"
"SCOPUS_ID:85023206466";"84976702763"
"SCOPUS_ID:85144503436";"34047207566"
"SCOPUS_ID:85060040462";"84963949906"
"SCOPUS_ID:85142245402";"4644280844"
"SCOPUS_ID:85150606964";"4644280844"
"SCOPUS_ID:85153078307";"4644280844"
"SCOPUS_ID:85098887052";"4644280844"
"SCOPUS_ID:85079822358";"4644280844"
"SCOPUS_ID:85142372695";"85133336275"
"SCOPUS_ID:85127073149";"85133336275"
"SCOPUS_ID:85126946402";"85133336275"
"SCOPUS_ID:85147513245";"77950537175"
"SCOPUS_ID:85040710229";"35148839490"
"SCOPUS_ID:85134523493";"36435040"
"SCOPUS_ID:84994761908";"36435040"
"SCOPUS_ID:85136591503";"77954025485"
"SCOPUS_ID:85126476246";"37249053884"
"SCOPUS_ID:85099389536";"37249053884"
"SCOPUS_ID:85082747260";"37249053884"
"SCOPUS_ID:85144463165";"33934949"
"SCOPUS_ID:85143324979";"877903"
"SCOPUS_ID:85137626292";"877903"
"SCOPUS_ID:85126476246";"242652022"
"SCOPUS_ID:85151960432";"84989525001"
"SCOPUS_ID:85138073856";"84989525001"
"SCOPUS_ID:85127280924";"84989525001"
"SCOPUS_ID:85150089813";"84989525001"
"SCOPUS_ID:85121141262";"84989525001"
"SCOPUS_ID:85065283005";"84989525001"
"SCOPUS_ID:85071937753";"84989525001"
"SCOPUS_ID:85030455391";"84989525001"
"SCOPUS_ID:80155123627";"38589165"
"SCOPUS_ID:84969884848";"84937549955"
"SCOPUS_ID:85060065630";"84961291190"
"SCOPUS_ID:85124378925";"71149088987"
"SCOPUS_ID:85120872880";"71149088987"
"SCOPUS_ID:85127939086";"71149088987"
"SCOPUS_ID:85100059556";"71149088987"
"SCOPUS_ID:85091634199";"71149088987"
"SCOPUS_ID:85082966401";"71149088987"
"SCOPUS_ID:85057168962";"71149088987"
"SCOPUS_ID:85070983662";"84980092818"
"SCOPUS_ID:85102463024";"1642587247"
"SCOPUS_ID:85074035958";"1642587247"
"SCOPUS_ID:85070983662";"1642587247"
"SCOPUS_ID:85065886742";"1642587247"
"SCOPUS_ID:85064056437";"1642587247"
"SCOPUS_ID:85117124447";"2209063"
"SCOPUS_ID:85109633827";"2209063"
"SCOPUS_ID:85116481460";"2209063"
"SCOPUS_ID:85150606964";"85043904715"
"SCOPUS_ID:85083648310";"84925068967"
"SCOPUS_ID:85076527722";"84925068967"
"SCOPUS_ID:85123013062";"84985070018"
"SCOPUS_ID:85071937753";"33755485"
"SCOPUS_ID:84886385266";"77955422240"
"SCOPUS_ID:84986046302";"84965932242"
"SCOPUS_ID:85121141262";"84879854889"
"SCOPUS_ID:85077710168";"84879854889"
"SCOPUS_ID:85083648310";"84879854889"
"SCOPUS_ID:85117069469";"85041910265"
"SCOPUS_ID:85107287236";"84903035283"
"SCOPUS_ID:85081111303";"84977737676"
"SCOPUS_ID:85091434156";"84875514169"
"SCOPUS_ID:85091634199";"20844435854"
"SCOPUS_ID:85071937753";"20844435854"
"SCOPUS_ID:85085975972";"32348699"
"SCOPUS_ID:85138684672";"85083953689"
"SCOPUS_ID:85159567297";"32084985"
"SCOPUS_ID:85065283005";"32084985"
"SCOPUS_ID:85079130868";"84943709252"
"SCOPUS_ID:85045389535";"84856627527"
"SCOPUS_ID:85134523493";"85008736512"
"SCOPUS_ID:85139115612";"85008736512"
"SCOPUS_ID:85136515369";"85008736512"
"SCOPUS_ID:85087830728";"85008736512"
"SCOPUS_ID:84873301123";"85008736512"
"SCOPUS_ID:85085975972";"2624840"
"SCOPUS_ID:85060661202";"2624840"
"SCOPUS_ID:85121141262";"85008044987"
